block_size_bits,arity_cap,codec_family,pass,seed_depth_bits,log2_seed_count,bits_before,bits_after,percent_raw,accepted_replacements,gain_p50,gain_p90,gain_p99,max_gain,superposed_retained,superposed_converted,shuffle_refresh,metadata_bits
24,16,ext1,6,32,32,323786,323772,112.4485,5.90,2,5,8,22,2648.4,1.064e-02,1.0,80
24,16,ext1,7,32,32,323769,323754,112.4479,5.90,2,5,8,22,2648.4,1.064e-02,1.0,96
24,16,ext1,8,32,32,323751,323736,112.4473,5.90,2,5,8,22,2648.4,1.065e-02,1.0,112
24,16,ext1,1,128,128,288000,316902,110.0354,,,,,,,,1.0,0
24,16,ext1,2,128,128,316902,316901,110.0407,0.37,2,4,7,20,108.1,1.962e-04,1.0,16
24,16,ext1,3,128,128,316895,316894,110.0439,0.37,2,4,7,20,108.1,1.963e-04,1.0,32
24,16,ext1,4,128,128,316888,316888,110.0471,0.37,2,4,7,20,108.2,1.963e-04,1.0,48
24,16,ext1,5,128,128,316882,316881,110.0503,0.37,2,4,7,20,108.2,1.964e-04,1.0,64
24,16,ext1,6,128,128,316875,316874,110.0535,0.37,2,4,7,20,108.2,1.964e-04,1.0,80
24,16,ext1,7,128,128,316868,316867,110.0566,0.37,2,4,7,20,108.2,1.964e-04,1.0,96
24,16,ext1,8,128,128,316861,316860,110.0598,0.37,2,4,7,20,108.2,1.965e-04,1.0,112
24,16,ext1,1,1024,1024,288000,301500,104.6875,,,,,,,,1.0,0
24,16,ext1,2,1024,1024,301500,301500,104.6930,0.03,2,4,7,15,11.6,5.461e-06,1.0,16
24,16,ext1,3,1024,1024,301500,301500,104.6986,0.03,2,4,7,15,11.6,5.461e-06,1.0,32
24,16,ext1,4,1024,1024,301500,301500,104.7041,0.03,2,4,7,15,11.6,5.460e-06,1.0,48
24,16,ext1,5,1024,1024,301500,301500,104.7096,0.03,2,4,7,15,11.6,5.460e-06,1.0,64
24,16,ext1,6,1024,1024,301500,301500,104.7152,0.03,2,4,7,15,11.6,5.460e-06,1.0,80
24,16,ext1,7,1024,1024,301500,301500,104.7207,0.03,2,4,7,15,11.6,5.460e-06,1.0,96
24,16,ext1,8,1024,1024,301500,301500,104.7262,0.03,2,4,7,15,11.6,5.459e-06,1.0,112
24,16,ext1,1,24000,24000,288000,301500,104.6875,,,,,,,,1.0,0
24,16,ext1,2,24000,24000,301500,301500,104.6930,0.05,2,4,7,15,11.6,1.299e-05,1.0,16
24,16,ext1,3,24000,24000,301500,301500,104.6985,0.05,2,4,7,15,11.6,1.299e-05,1.0,32
24,16,ext1,4,24000,24000,301500,301500,104.7041,0.05,2,4,7,15,11.6,1.299e-05,1.0,48
24,16,ext1,5,24000,24000,301500,301500,104.7096,0.05,2,4,7,15,11.6,1.299e-05,1.0,64
24,16,ext1,6,24000,24000,301500,301500,104.7151,0.05,2,4,7,15,11.6,1.299e-05,1.0,80
24,16,ext1,7,24000,24000,301500,301499,104.7206,0.05,2,4,7,15,11.6,1.298e-05,1.0,96
24,16,ext1,8,24000,24000,301499,301499,104.7262,0.05,2,4,7,15,11.6,1.298e-05,1.0,112
24,64,ext1,1,16,16,288000,323860,112.4513,,,,,,,,1.0,0
24,64,ext1,2,16,16,323860,323845,112.4517,5.88,2,5,8,20,0.1,2.660e-05,1.0,16
